feature_id,planned_role,path,exists,expected_dim,actual_dim,dim_ok,train_shape,validation_shape,test_shape,nan_count_total,inf_count_total,feature_groups,label_names,status
F0_pixels_gray,C0 primary raw-pixel baseline,data/features/F0_pixels/F0_pixels_gray_1024.npz,True,1024,1024,True,8581x1024,1839x1024,1839x1024,0,0,pixel_gray,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F0_pixels_rgb,optional raw-pixel baseline,data/features/F0_pixels/F0_pixels_rgb_3072.npz,True,3072,3072,True,8581x3072,1839x3072,1839x3072,0,0,pixel_rgb,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F1_color,C1 color feature group,data/features/F1_color/F1_color_1039.npz,True,1039,1039,True,8581x1039,1839x1039,1839x1039,0,0,color_bgr_hist|color_hsv_hist|color_hsv_stats,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F2_texture,C2 texture feature group,data/features/F2_texture/F2_texture_30.npz,True,30,30,True,8581x30,1839x30,1839x30,0,0,texture_glcm|texture_lbp,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F3_hog,C3 HOG edge feature group,data/features/F3_hog/F3_hog_1764.npz,True,1764,1764,True,8581x1764,1839x1764,1839x1764,0,0,hog,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F4_shape,C4 shape feature group,data/features/F4_shape/F4_shape_12.npz,True,12,12,True,8581x12,1839x12,1839x12,0,0,shape_geometry|shape_hu,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F5_gist,C5 GIST global structure feature group,data/features/F5_gist/F5_gist_64.npz,True,64,64,True,8581x64,1839x64,1839x64,0,0,gist,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F6_sift_bof,SIFT part of local BoF feature group,data/features/F6_bof/F6_sift_bof_128.npz,True,128,128,True,8581x128,1839x128,1839x128,0,0,bof_sift,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F6_orb_bof,ORB part of local BoF feature group,data/features/F6_bof/F6_orb_bof_128.npz,True,128,128,True,8581x128,1839x128,1839x128,0,0,bof_orb,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
F6_bof,C6 full local BoF feature group,data/features/F6_bof/F6_bof_256.npz,True,256,256,True,8581x256,1839x256,1839x256,0,0,bof_orb|bof_sift,battery|biological|cardboard|clothes|glass|metal|paper|plastic|shoes|trash,ok
