model_id,split,true_label,predicted_label,count
lr_c11_balanced,test,battery,battery,72
lr_c11_balanced,test,battery,biological,0
lr_c11_balanced,test,battery,cardboard,7
lr_c11_balanced,test,battery,clothes,0
lr_c11_balanced,test,battery,glass,6
lr_c11_balanced,test,battery,metal,12
lr_c11_balanced,test,battery,paper,3
lr_c11_balanced,test,battery,plastic,6
lr_c11_balanced,test,battery,shoes,6
lr_c11_balanced,test,battery,trash,1
lr_c11_balanced,test,biological,battery,1
lr_c11_balanced,test,biological,biological,75
lr_c11_balanced,test,biological,cardboard,3
lr_c11_balanced,test,biological,clothes,1
lr_c11_balanced,test,biological,glass,3
lr_c11_balanced,test,biological,metal,2
lr_c11_balanced,test,biological,paper,6
lr_c11_balanced,test,biological,plastic,4
lr_c11_balanced,test,biological,shoes,6
lr_c11_balanced,test,biological,trash,4
lr_c11_balanced,test,cardboard,battery,2
lr_c11_balanced,test,cardboard,biological,6
lr_c11_balanced,test,cardboard,cardboard,153
lr_c11_balanced,test,cardboard,clothes,3
lr_c11_balanced,test,cardboard,glass,10
lr_c11_balanced,test,cardboard,metal,5
lr_c11_balanced,test,cardboard,paper,14
lr_c11_balanced,test,cardboard,plastic,11
lr_c11_balanced,test,cardboard,shoes,4
lr_c11_balanced,test,cardboard,trash,4
lr_c11_balanced,test,clothes,battery,1
lr_c11_balanced,test,clothes,biological,1
lr_c11_balanced,test,clothes,cardboard,6
lr_c11_balanced,test,clothes,clothes,237
lr_c11_balanced,test,clothes,glass,1
lr_c11_balanced,test,clothes,metal,5
lr_c11_balanced,test,clothes,paper,9
lr_c11_balanced,test,clothes,plastic,7
lr_c11_balanced,test,clothes,shoes,9
lr_c11_balanced,test,clothes,trash,8
lr_c11_balanced,test,glass,battery,3
lr_c11_balanced,test,glass,biological,8
lr_c11_balanced,test,glass,cardboard,12
lr_c11_balanced,test,glass,clothes,1
lr_c11_balanced,test,glass,glass,168
lr_c11_balanced,test,glass,metal,15
lr_c11_balanced,test,glass,paper,7
lr_c11_balanced,test,glass,plastic,30
lr_c11_balanced,test,glass,shoes,14
lr_c11_balanced,test,glass,trash,2
lr_c11_balanced,test,metal,battery,7
lr_c11_balanced,test,metal,biological,1
lr_c11_balanced,test,metal,cardboard,5
lr_c11_balanced,test,metal,clothes,2
lr_c11_balanced,test,metal,glass,17
lr_c11_balanced,test,metal,metal,76
lr_c11_balanced,test,metal,paper,6
lr_c11_balanced,test,metal,plastic,12
lr_c11_balanced,test,metal,shoes,9
lr_c11_balanced,test,metal,trash,5
lr_c11_balanced,test,paper,battery,2
lr_c11_balanced,test,paper,biological,4
lr_c11_balanced,test,paper,cardboard,11
lr_c11_balanced,test,paper,clothes,2
lr_c11_balanced,test,paper,glass,11
lr_c11_balanced,test,paper,metal,8
lr_c11_balanced,test,paper,paper,138
lr_c11_balanced,test,paper,plastic,12
lr_c11_balanced,test,paper,shoes,6
lr_c11_balanced,test,paper,trash,6
lr_c11_balanced,test,plastic,battery,5
lr_c11_balanced,test,plastic,biological,1
lr_c11_balanced,test,plastic,cardboard,10
lr_c11_balanced,test,plastic,clothes,10
lr_c11_balanced,test,plastic,glass,26
lr_c11_balanced,test,plastic,metal,13
lr_c11_balanced,test,plastic,paper,12
lr_c11_balanced,test,plastic,plastic,149
lr_c11_balanced,test,plastic,shoes,4
lr_c11_balanced,test,plastic,trash,10
lr_c11_balanced,test,shoes,battery,4
lr_c11_balanced,test,shoes,biological,5
lr_c11_balanced,test,shoes,cardboard,5
lr_c11_balanced,test,shoes,clothes,12
lr_c11_balanced,test,shoes,glass,15
lr_c11_balanced,test,shoes,metal,13
lr_c11_balanced,test,shoes,paper,14
lr_c11_balanced,test,shoes,plastic,3
lr_c11_balanced,test,shoes,shoes,142
lr_c11_balanced,test,shoes,trash,4
lr_c11_balanced,test,trash,battery,2
lr_c11_balanced,test,trash,biological,1
lr_c11_balanced,test,trash,cardboard,4
lr_c11_balanced,test,trash,clothes,2
lr_c11_balanced,test,trash,glass,6
lr_c11_balanced,test,trash,metal,5
lr_c11_balanced,test,trash,paper,7
lr_c11_balanced,test,trash,plastic,3
lr_c11_balanced,test,trash,shoes,3
lr_c11_balanced,test,trash,trash,35
sgd_svm_hct_balanced,test,battery,battery,75
sgd_svm_hct_balanced,test,battery,biological,0
sgd_svm_hct_balanced,test,battery,cardboard,7
sgd_svm_hct_balanced,test,battery,clothes,0
sgd_svm_hct_balanced,test,battery,glass,2
sgd_svm_hct_balanced,test,battery,metal,9
sgd_svm_hct_balanced,test,battery,paper,3
sgd_svm_hct_balanced,test,battery,plastic,10
sgd_svm_hct_balanced,test,battery,shoes,6
sgd_svm_hct_balanced,test,battery,trash,1
sgd_svm_hct_balanced,test,biological,battery,0
sgd_svm_hct_balanced,test,biological,biological,70
sgd_svm_hct_balanced,test,biological,cardboard,1
sgd_svm_hct_balanced,test,biological,clothes,0
sgd_svm_hct_balanced,test,biological,glass,7
sgd_svm_hct_balanced,test,biological,metal,4
sgd_svm_hct_balanced,test,biological,paper,10
sgd_svm_hct_balanced,test,biological,plastic,7
sgd_svm_hct_balanced,test,biological,shoes,2
sgd_svm_hct_balanced,test,biological,trash,4
sgd_svm_hct_balanced,test,cardboard,battery,2
sgd_svm_hct_balanced,test,cardboard,biological,4
sgd_svm_hct_balanced,test,cardboard,cardboard,142
sgd_svm_hct_balanced,test,cardboard,clothes,4
sgd_svm_hct_balanced,test,cardboard,glass,14
sgd_svm_hct_balanced,test,cardboard,metal,5
sgd_svm_hct_balanced,test,cardboard,paper,8
sgd_svm_hct_balanced,test,cardboard,plastic,27
sgd_svm_hct_balanced,test,cardboard,shoes,5
sgd_svm_hct_balanced,test,cardboard,trash,1
sgd_svm_hct_balanced,test,clothes,battery,1
sgd_svm_hct_balanced,test,clothes,biological,5
sgd_svm_hct_balanced,test,clothes,cardboard,3
sgd_svm_hct_balanced,test,clothes,clothes,224
sgd_svm_hct_balanced,test,clothes,glass,4
sgd_svm_hct_balanced,test,clothes,metal,3
sgd_svm_hct_balanced,test,clothes,paper,18
sgd_svm_hct_balanced,test,clothes,plastic,20
sgd_svm_hct_balanced,test,clothes,shoes,5
sgd_svm_hct_balanced,test,clothes,trash,1
sgd_svm_hct_balanced,test,glass,battery,3
sgd_svm_hct_balanced,test,glass,biological,2
sgd_svm_hct_balanced,test,glass,cardboard,17
sgd_svm_hct_balanced,test,glass,clothes,2
sgd_svm_hct_balanced,test,glass,glass,169
sgd_svm_hct_balanced,test,glass,metal,13
sgd_svm_hct_balanced,test,glass,paper,13
sgd_svm_hct_balanced,test,glass,plastic,28
sgd_svm_hct_balanced,test,glass,shoes,10
