image_id,path,true_label,predicted_label,correct,confidence,true_label_probability,top1_label,top1_probability,top2_label,top2_probability,top3_label,top3_probability
img_010265,data/garbage-classification-v2/standardized_256/plastic/plastic_915.jpg,plastic,trash,False,0.9906412959,0.0025256339,trash,0.9906412959,clothes,0.0045377593,plastic,0.0025256339
img_000983,data/garbage-classification-v2/standardized_256/biological/biological_302.jpg,biological,trash,False,0.9890649319,0.0002632513,trash,0.9890649319,plastic,0.0055333534,clothes,0.0026112895
img_008847,data/garbage-classification-v2/standardized_256/plastic/plastic_1076.jpg,plastic,battery,False,0.985512197,0.0036450725,battery,0.985512197,metal,0.0066911876,plastic,0.0036450725
img_010226,data/garbage-classification-v2/standardized_256/plastic/plastic_880.jpg,plastic,glass,False,0.9851776958,0.0033900593,glass,0.9851776958,trash,0.0042127911,biological,0.0037449657
img_009907,data/garbage-classification-v2/standardized_256/plastic/plastic_593.jpg,plastic,metal,False,0.9833887815,0.0033237166,metal,0.9833887815,battery,0.006387189,plastic,0.0033237166
img_001070,data/garbage-classification-v2/standardized_256/biological/biological_381.jpg,biological,paper,False,0.980437994,0.0002775205,paper,0.980437994,cardboard,0.0052016615,clothes,0.0047877058
img_008608,data/garbage-classification-v2/standardized_256/paper/paper_861.jpg,paper,clothes,False,0.9685801268,0.0086893123,clothes,0.9685801268,shoes,0.009258572,paper,0.0086893123
img_011944,data/garbage-classification-v2/standardized_256/trash/trash_222.jpg,trash,glass,False,0.9654669166,0.006100181,glass,0.9654669166,battery,0.0095228245,plastic,0.0085751899
img_004954,data/garbage-classification-v2/standardized_256/glass/glass_1174.jpg,glass,biological,False,0.9642163515,0.0113369189,biological,0.9642163515,glass,0.0113369189,shoes,0.0068313861
img_005182,data/garbage-classification-v2/standardized_256/glass/glass_138.jpg,glass,shoes,False,0.9635106325,0.0052752867,shoes,0.9635106325,biological,0.0104464972,glass,0.0052752867
img_005415,data/garbage-classification-v2/standardized_256/glass/glass_159.jpg,glass,shoes,False,0.9586925507,0.0073717618,shoes,0.9586925507,metal,0.0122322673,glass,0.0073717618
img_007473,data/garbage-classification-v2/standardized_256/paper/paper_1041.jpg,paper,cardboard,False,0.9582135677,0.0223271754,cardboard,0.9582135677,paper,0.0223271754,shoes,0.0053058341
img_007045,data/garbage-classification-v2/standardized_256/metal/metal_595.jpg,metal,battery,False,0.9578273892,0.0163300987,battery,0.9578273892,metal,0.0163300987,plastic,0.0091877831
img_008804,data/garbage-classification-v2/standardized_256/plastic/plastic_1037.jpg,plastic,cardboard,False,0.9568781257,0.0075840489,cardboard,0.9568781257,paper,0.011279393,metal,0.0098891258
img_011459,data/garbage-classification-v2/standardized_256/shoes/shoes_686.jpg,shoes,clothes,False,0.9545761347,0.0196228493,clothes,0.9545761347,shoes,0.0196228493,paper,0.0092315245
img_012188,data/garbage-classification-v2/standardized_256/trash/trash_442.jpg,trash,battery,False,0.9519491196,0.0027110656,battery,0.9519491196,plastic,0.0187183358,metal,0.0130017772
img_009177,data/garbage-classification-v2/standardized_256/plastic/plastic_1373.jpg,plastic,clothes,False,0.9494732022,0.0096353702,clothes,0.9494732022,cardboard,0.0118062738,plastic,0.0096353702
img_005160,data/garbage-classification-v2/standardized_256/glass/glass_136.jpg,glass,paper,False,0.9401869178,0.0013980742,paper,0.9401869178,cardboard,0.0259464476,metal,0.015629746
img_002800,data/garbage-classification-v2/standardized_256/cardboard/cardboard_939.jpg,cardboard,shoes,False,0.9396997094,0.0068078786,shoes,0.9396997094,biological,0.0184892956,metal,0.008793572
img_000512,data/garbage-classification-v2/standardized_256/battery/battery_56.jpg,battery,cardboard,False,0.9324339032,0.0084487954,cardboard,0.9324339032,paper,0.0233704001,battery,0.0084487954
img_009818,data/garbage-classification-v2/standardized_256/plastic/plastic_512.jpg,plastic,paper,False,0.9317520857,0.0072179586,paper,0.9317520857,metal,0.0235113036,cardboard,0.0213408545
img_001653,data/garbage-classification-v2/standardized_256/cardboard/cardboard_1176.jpg,cardboard,biological,False,0.9293982387,0.0024606679,biological,0.9293982387,metal,0.0200142544,shoes,0.0167118907
img_012108,data/garbage-classification-v2/standardized_256/trash/trash_370.jpg,trash,metal,False,0.9291459918,0.0023360574,metal,0.9291459918,paper,0.0353413336,glass,0.013889554
img_009514,data/garbage-classification-v2/standardized_256/plastic/plastic_239.jpg,plastic,trash,False,0.9271066189,0.0528107993,trash,0.9271066189,plastic,0.0528107993,paper,0.007091979
img_003151,data/garbage-classification-v2/standardized_256/clothes/clothes_1254.jpg,clothes,shoes,False,0.9251406193,0.0044288682,shoes,0.9251406193,paper,0.0320027396,cardboard,0.0105450125
img_006727,data/garbage-classification-v2/standardized_256/metal/metal_308.jpg,metal,glass,False,0.9175715446,0.0119347461,glass,0.9175715446,plastic,0.0381090641,metal,0.0119347461
img_010160,data/garbage-classification-v2/standardized_256/plastic/plastic_820.jpg,plastic,glass,False,0.9169055223,0.0393200219,glass,0.9169055223,plastic,0.0393200219,metal,0.0124812992
img_012156,data/garbage-classification-v2/standardized_256/trash/trash_413.jpg,trash,plastic,False,0.9168245196,0.0109556569,plastic,0.9168245196,glass,0.0305706244,cardboard,0.0163011309
img_009265,data/garbage-classification-v2/standardized_256/plastic/plastic_1452.jpg,plastic,battery,False,0.9102790356,0.0220570788,battery,0.9102790356,metal,0.0333030038,cardboard,0.0222127084
img_009130,data/garbage-classification-v2/standardized_256/plastic/plastic_1330.jpg,plastic,clothes,False,0.910263896,0.0190338455,clothes,0.910263896,metal,0.0410105586,plastic,0.0190338455
img_004858,data/garbage-classification-v2/standardized_256/glass/glass_1088.jpg,glass,plastic,False,0.9071151614,0.0542107709,plastic,0.9071151614,glass,0.0542107709,cardboard,0.0121158902
img_009725,data/garbage-classification-v2/standardized_256/plastic/plastic_429.jpg,plastic,glass,False,0.9033858776,0.0408304296,glass,0.9033858776,plastic,0.0408304296,metal,0.0162474904
img_006201,data/garbage-classification-v2/standardized_256/glass/glass_734.jpg,glass,plastic,False,0.9029167891,0.0395567156,plastic,0.9029167891,glass,0.0395567156,cardboard,0.0217459537
img_007167,data/garbage-classification-v2/standardized_256/metal/metal_704.jpg,metal,plastic,False,0.90125525,0.0104198549,plastic,0.90125525,glass,0.0270937048,paper,0.0238513146
img_001578,data/garbage-classification-v2/standardized_256/cardboard/cardboard_1108.jpg,cardboard,paper,False,0.9009910822,0.0554356575,paper,0.9009910822,cardboard,0.0554356575,plastic,0.0172516108
img_007943,data/garbage-classification-v2/standardized_256/paper/paper_262.jpg,paper,cardboard,False,0.900624156,0.0291547291,cardboard,0.900624156,shoes,0.0406140611,paper,0.0291547291
img_002712,data/garbage-classification-v2/standardized_256/cardboard/cardboard_86.jpg,cardboard,plastic,False,0.9005097747,0.0317149423,plastic,0.9005097747,cardboard,0.0317149423,glass,0.029368693
img_007320,data/garbage-classification-v2/standardized_256/metal/metal_842.jpg,metal,cardboard,False,0.8954395056,0.0667749718,cardboard,0.8954395056,metal,0.0667749718,paper,0.014246854
img_004795,data/garbage-classification-v2/standardized_256/glass/glass_1030.jpg,glass,plastic,False,0.8941673636,0.0682852045,plastic,0.8941673636,glass,0.0682852045,paper,0.0119329346
img_005822,data/garbage-classification-v2/standardized_256/glass/glass_393.jpg,glass,cardboard,False,0.8924136758,0.0117159151,cardboard,0.8924136758,paper,0.0553305224,trash,0.0139657622
img_001778,data/garbage-classification-v2/standardized_256/cardboard/cardboard_1289.jpg,cardboard,paper,False,0.8918409944,0.0270821769,paper,0.8918409944,plastic,0.040209502,cardboard,0.0270821769
img_007056,data/garbage-classification-v2/standardized_256/metal/metal_604.jpg,metal,shoes,False,0.8870719075,0.0277912095,shoes,0.8870719075,metal,0.0277912095,biological,0.0218639448
img_009990,data/garbage-classification-v2/standardized_256/plastic/plastic_668.jpg,plastic,metal,False,0.8863009214,0.0308189429,metal,0.8863009214,glass,0.0356347226,plastic,0.0308189429
img_011831,data/garbage-classification-v2/standardized_256/trash/trash_120.jpg,trash,cardboard,False,0.8840707541,0.030697193,cardboard,0.8840707541,paper,0.0361478217,trash,0.030697193
img_010291,data/garbage-classification-v2/standardized_256/plastic/plastic_939.jpg,plastic,paper,False,0.8807530999,0.0147344153,paper,0.8807530999,cardboard,0.0549694821,plastic,0.0147344153
img_010139,data/garbage-classification-v2/standardized_256/plastic/plastic_801.jpg,plastic,cardboard,False,0.8765797615,0.0132045969,cardboard,0.8765797615,paper,0.0629189089,plastic,0.0132045969
img_009430,data/garbage-classification-v2/standardized_256/plastic/plastic_163.jpg,plastic,glass,False,0.8727594018,0.0508070476,glass,0.8727594018,plastic,0.0508070476,trash,0.0474291369
img_002495,data/garbage-classification-v2/standardized_256/cardboard/cardboard_664.jpg,cardboard,clothes,False,0.8720216751,0.0018665806,clothes,0.8720216751,metal,0.0476326793,shoes,0.0211718921
img_007221,data/garbage-classification-v2/standardized_256/metal/metal_753.jpg,metal,shoes,False,0.8650737405,0.0583401695,shoes,0.8650737405,metal,0.0583401695,battery,0.025944151
img_000353,data/garbage-classification-v2/standardized_256/battery/battery_416.jpg,battery,shoes,False,0.864608109,0.0608713254,shoes,0.864608109,battery,0.0608713254,metal,0.0158128515
img_005765,data/garbage-classification-v2/standardized_256/glass/glass_341.jpg,glass,cardboard,False,0.858430326,0.0068164072,cardboard,0.858430326,plastic,0.0483390503,metal,0.0287018344
img_009975,data/garbage-classification-v2/standardized_256/plastic/plastic_654.jpg,plastic,battery,False,0.8579552174,0.1015022993,battery,0.8579552174,plastic,0.1015022993,metal,0.0169319622
img_010640,data/garbage-classification-v2/standardized_256/shoes/shoes_1252.jpg,shoes,clothes,False,0.8568117619,0.1153204814,clothes,0.8568117619,shoes,0.1153204814,plastic,0.0093568116
img_007132,data/garbage-classification-v2/standardized_256/metal/metal_673.jpg,metal,cardboard,False,0.8521169424,0.0259407591,cardboard,0.8521169424,plastic,0.0494018123,paper,0.0357553326
img_007992,data/garbage-classification-v2/standardized_256/paper/paper_306.jpg,paper,clothes,False,0.8478075266,0.0767257139,clothes,0.8478075266,paper,0.0767257139,plastic,0.0215811785
img_002642,data/garbage-classification-v2/standardized_256/cardboard/cardboard_797.jpg,cardboard,shoes,False,0.8477941751,0.0643983185,shoes,0.8477941751,cardboard,0.0643983185,battery,0.0432817042
img_008221,data/garbage-classification-v2/standardized_256/paper/paper_512.jpg,paper,shoes,False,0.8352283239,0.0349154212,shoes,0.8352283239,clothes,0.0424706489,paper,0.0349154212
img_011149,data/garbage-classification-v2/standardized_256/shoes/shoes_406.jpg,shoes,paper,False,0.8344730735,0.024144534,paper,0.8344730735,metal,0.0411641076,clothes,0.0331688523
