true_label,predicted_label,count
plastic,glass,24
glass,plastic,15
cardboard,plastic,13
glass,shoes,9
paper,shoes,9
plastic,cardboard,8
plastic,paper,8
plastic,metal,8
shoes,clothes,8
shoes,paper,8
trash,metal,8
battery,glass,7
clothes,shoes,7
metal,cardboard,7
paper,clothes,7
plastic,battery,7
battery,metal,6
biological,paper,6
paper,cardboard,6
shoes,metal,6
cardboard,shoes,5
cardboard,paper,5
cardboard,metal,5
metal,battery,5
metal,plastic,5
paper,plastic,5
trash,plastic,5
biological,plastic,4
glass,biological,4
metal,glass,4
metal,paper,4
paper,glass,4
plastic,clothes,4
shoes,biological,4
trash,glass,4
battery,cardboard,3
biological,glass,3
cardboard,biological,3
cardboard,clothes,3
clothes,plastic,3
glass,metal,3
glass,paper,3
glass,cardboard,3
metal,shoes,3
shoes,plastic,3
trash,paper,3
battery,shoes,2
biological,clothes,2
biological,trash,2
biological,metal,2
biological,shoes,2
cardboard,glass,2
clothes,cardboard,2
glass,battery,2
paper,biological,2
plastic,biological,2
plastic,trash,2
shoes,glass,2
shoes,battery,2
trash,cardboard,2
trash,shoes,2
trash,battery,2
battery,paper,1
battery,trash,1
clothes,metal,1
clothes,biological,1
clothes,paper,1
clothes,battery,1
glass,clothes,1
glass,trash,1
metal,clothes,1
metal,biological,1
paper,trash,1
paper,battery,1
paper,metal,1
plastic,shoes,1
trash,clothes,1
