model_id,split,class_name,support,precision,recall,f1
lr_c11_balanced,test,battery,113,0.7272727273,0.6371681416,0.679245283
lr_c11_balanced,test,biological,105,0.7352941176,0.7142857143,0.7246376812
lr_c11_balanced,test,cardboard,212,0.7083333333,0.7216981132,0.714953271
lr_c11_balanced,test,clothes,284,0.8777777778,0.8345070423,0.8555956679
lr_c11_balanced,test,glass,260,0.63878327,0.6461538462,0.6424474187
lr_c11_balanced,test,metal,140,0.4935064935,0.5428571429,0.5170068027
lr_c11_balanced,test,paper,200,0.6388888889,0.69,0.6634615385
lr_c11_balanced,test,plastic,240,0.6286919831,0.6208333333,0.6247379455
lr_c11_balanced,test,shoes,217,0.6995073892,0.6543778802,0.6761904762
lr_c11_balanced,test,trash,68,0.4430379747,0.5147058824,0.4761904762
sgd_svm_hct_balanced,test,battery,113,0.7075471698,0.6637168142,0.6849315068
sgd_svm_hct_balanced,test,biological,105,0.6730769231,0.6666666667,0.6698564593
sgd_svm_hct_balanced,test,cardboard,212,0.7171717172,0.6698113208,0.6926829268
sgd_svm_hct_balanced,test,clothes,284,0.8389513109,0.7887323944,0.8130671506
sgd_svm_hct_balanced,test,glass,260,0.6123188406,0.65,0.6305970149
sgd_svm_hct_balanced,test,metal,140,0.4817518248,0.4714285714,0.476534296
sgd_svm_hct_balanced,test,paper,200,0.5669642857,0.635,0.5990566038
sgd_svm_hct_balanced,test,plastic,240,0.4965986395,0.6083333333,0.5468164794
sgd_svm_hct_balanced,test,shoes,217,0.7368421053,0.5806451613,0.6494845361
sgd_svm_hct_balanced,test,trash,68,0.4032258065,0.3676470588,0.3846153846
rf_lowdim_balanced,test,battery,113,0.7304347826,0.7433628319,0.7368421053
rf_lowdim_balanced,test,biological,105,0.6434782609,0.7047619048,0.6727272727
rf_lowdim_balanced,test,cardboard,212,0.7432432432,0.7783018868,0.7603686636
rf_lowdim_balanced,test,clothes,284,0.679144385,0.8943661972,0.7720364742
rf_lowdim_balanced,test,glass,260,0.7121212121,0.7230769231,0.7175572519
rf_lowdim_balanced,test,metal,140,0.786407767,0.5785714286,0.6666666667
rf_lowdim_balanced,test,paper,200,0.6844919786,0.64,0.661498708
rf_lowdim_balanced,test,plastic,240,0.6974358974,0.5666666667,0.6252873563
rf_lowdim_balanced,test,shoes,217,0.6712962963,0.668202765,0.6697459584
rf_lowdim_balanced,test,trash,68,0.8125,0.5735294118,0.6724137931
knn_compact_gist_texture_shape,test,battery,113,0.8243243243,0.5398230088,0.6524064171
knn_compact_gist_texture_shape,test,biological,105,0.4690265487,0.5047619048,0.4862385321
knn_compact_gist_texture_shape,test,cardboard,212,0.5989847716,0.5566037736,0.5770171149
knn_compact_gist_texture_shape,test,clothes,284,0.5860465116,0.8873239437,0.7058823529
knn_compact_gist_texture_shape,test,glass,260,0.5670995671,0.5038461538,0.533604888
knn_compact_gist_texture_shape,test,metal,140,0.4805194805,0.2642857143,0.3410138249
knn_compact_gist_texture_shape,test,paper,200,0.5538461538,0.54,0.546835443
knn_compact_gist_texture_shape,test,plastic,240,0.4448669202,0.4875,0.4652087475
knn_compact_gist_texture_shape,test,shoes,217,0.6212121212,0.5668202765,0.5927710843
knn_compact_gist_texture_shape,test,trash,68,0.5737704918,0.5147058824,0.5426356589
lgbm_small_hct_sqrt,test,battery,113,0.8348623853,0.8053097345,0.8198198198
lgbm_small_hct_sqrt,test,biological,105,0.8155339806,0.8,0.8076923077
lgbm_small_hct_sqrt,test,cardboard,212,0.8413461538,0.8254716981,0.8333333333
lgbm_small_hct_sqrt,test,clothes,284,0.868852459,0.9330985915,0.8998302207
lgbm_small_hct_sqrt,test,glass,260,0.8022813688,0.8115384615,0.8068833652
lgbm_small_hct_sqrt,test,metal,140,0.7407407407,0.7142857143,0.7272727273
lgbm_small_hct_sqrt,test,paper,200,0.76,0.76,0.76
lgbm_small_hct_sqrt,test,plastic,240,0.7201646091,0.7291666667,0.7246376812
lgbm_small_hct_sqrt,test,shoes,217,0.7733333333,0.801843318,0.7873303167
lgbm_small_hct_sqrt,test,trash,68,0.875,0.6176470588,0.724137931
lgbm_anchor_c11_sqrt,test,battery,113,0.8425925926,0.8053097345,0.8235294118
lgbm_anchor_c11_sqrt,test,biological,105,0.7980769231,0.7904761905,0.7942583732
lgbm_anchor_c11_sqrt,test,cardboard,212,0.8309859155,0.8349056604,0.8329411765
