candidate_id,feature_id,model,rank_within_candidate,sklearn_rank,mean_cv_macro_f1,std_cv_macro_f1,params,search_strategy,inner_train_samples,inner_validation_samples
C3_KNN,F3_hog,KNN,1,1,0.5026534437898851,,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 9, ""model__weights"": ""distance"", ""prep"": ""Normalizer""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,2,2,0.4838719282998324,,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 1, ""model__weights"": ""uniform"", ""prep"": ""RobustScaler""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,3,3,0.44243548683305367,,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 7, ""model__weights"": ""distance"", ""prep"": ""MinMaxScaler""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,4,4,0.43238921749652637,,"{""model__metric"": ""cosine"", ""model__n_neighbors"": 9, ""model__weights"": ""distance"", ""prep"": ""MinMaxScaler""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,5,5,0.43112780164545617,,"{""model__metric"": ""cosine"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""prep"": ""Normalizer""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,6,6,0.4293902889721169,,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""prep"": ""Normalizer""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,7,7,0.4285863481250499,,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 31, ""model__weights"": ""uniform"", ""prep"": ""MinMaxScaler""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,8,8,0.4280293605393989,,"{""model__metric"": ""cosine"", ""model__n_neighbors"": 11, ""model__weights"": ""distance"", ""prep"": ""MinMaxScaler""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,9,9,0.42523777354218184,,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 31, ""model__weights"": ""uniform"", ""prep"": ""Normalizer""}",train_internal_holdout_subsample,2600,1200
C3_KNN,F3_hog,KNN,10,10,0.4083218544859387,,"{""model__metric"": ""cosine"", ""model__n_neighbors"": 9, ""model__weights"": ""uniform"", ""prep"": ""RobustScaler""}",train_internal_holdout_subsample,2600,1200
C5_KNN,F5_gist,KNN,1,1,0.45465703778641425,0.008012426918239399,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""prep"": ""StandardScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,2,2,0.4526615500755544,0.006601894597590449,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""prep"": ""MinMaxScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,3,3,0.4414221998542493,0.006651550455796537,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 11, ""model__weights"": ""distance"", ""prep"": ""RobustScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,4,4,0.4407202763001468,0.010652410163310406,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 1, ""model__weights"": ""uniform"", ""prep"": ""RobustScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,5,5,0.4403896191832692,0.008346845888617394,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""prep"": ""StandardScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,6,6,0.4394749188636092,0.007200203861655321,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""prep"": ""RobustScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,7,7,0.4386359895721858,0.0074437783836374906,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 1, ""model__weights"": ""uniform"", ""prep"": ""MinMaxScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,8,8,0.43293041600247584,0.0023699473273055896,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 5, ""model__weights"": ""uniform"", ""prep"": ""StandardScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,9,9,0.43183855569334995,0.006631457591013756,"{""model__metric"": ""cosine"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""prep"": ""RobustScaler""}",stratified_3fold_cv,,
C5_KNN,F5_gist,KNN,10,10,0.4298345766182207,0.008383697279279545,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 5, ""model__weights"": ""uniform"", ""prep"": ""MinMaxScaler""}",stratified_3fold_cv,,
C2_LogisticRegression,F2_texture,LogisticRegression,1,1,0.4781504385782062,0.005248990356627527,"{""model__C"": 10.0, ""model__class_weight"": null, ""prep"": ""StandardScaler""}",stratified_3fold_cv,,
