left_candidate_id,left_feature_id,left_model,right_candidate_id,right_feature_id,right_model,prediction_disagreement_rate,left_wrong_right_correct_count,right_wrong_left_correct_count,left_wrong_right_correct_minority_count,right_wrong_left_correct_minority_count
C2_LogisticRegression,F2_texture,LogisticRegression,C0_KNN,F0_pixels_gray,KNN,0.66721044045677,375,438,32,105
C3_KNN,F3_hog,KNN,C1_DecisionTree,F1_color,DecisionTree,0.6438281674823274,243,531,52,79
C1_LogisticRegression,F1_color,LogisticRegression,C0_KNN,F0_pixels_gray,KNN,0.6373028820010875,335,384,39,91
C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,C0_KNN,F0_pixels_gray,KNN,0.6737357259380098,386,358,43,86
C0_KNN,F0_pixels_gray,KNN,C6_KNN,F6_bof,KNN,0.7085372485046221,383,427,90,38
C3_KNN,F3_hog,KNN,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.6394779771615008,261,529,57,71
C1_DecisionTree,F1_color,DecisionTree,C5_LogisticRegression,F5_gist,LogisticRegression,0.7335508428493747,367,420,72,55
C1_KNN,F1_color,KNN,C0_KNN,F0_pixels_gray,KNN,0.632952691680261,302,373,30,97
C3_KNN,F3_hog,KNN,C1_LogisticRegression,F1_color,LogisticRegression,0.5965198477433388,273,464,60,65
C1_DecisionTree,F1_color,DecisionTree,C0_KNN,F0_pixels_gray,KNN,0.6661228928765633,384,336,46,76
C3_KNN,F3_hog,KNN,C6_LogisticRegression,F6_bof,LogisticRegression,0.6421968461120174,254,545,51,71
C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,C6_KNN,F6_bof,KNN,0.7226753670473083,396,412,64,55
C5_LogisticRegression,F5_gist,LogisticRegression,C6_KNN,F6_bof,KNN,0.7188689505165851,405,348,62,57
C1_LogisticRegression,F1_color,LogisticRegression,C5_LogisticRegression,F5_gist,LogisticRegression,0.7079934747145188,325,475,57,62
C6_LogisticRegression,F6_bof,LogisticRegression,C0_KNN,F0_pixels_gray,KNN,0.710168569874932,431,380,40,77
C5_KNN,F5_gist,KNN,C1_DecisionTree,F1_color,DecisionTree,0.6579662860250136,298,426,50,67
C3_LogisticRegression,F3_hog,LogisticRegression,C1_DecisionTree,F1_color,DecisionTree,0.655247417074497,274,491,52,65
C6_LogisticRegression,F6_bof,LogisticRegression,C5_LogisticRegression,F5_gist,LogisticRegression,0.723762914627515,351,401,63,53
C1_DecisionTree,F1_color,DecisionTree,C6_KNN,F6_bof,KNN,0.7069059271343121,389,385,69,47
C0_KNN,F0_pixels_gray,KNN,C2_DecisionTree,F2_texture,DecisionTree,0.6813485589994562,320,410,76,40
C2_KNN,F2_texture,KNN,C1_DecisionTree,F1_color,DecisionTree,0.6383904295812942,299,430,47,69
C3_KNN,F3_hog,KNN,C1_KNN,F1_color,KNN,0.5976073953235455,284,453,63,53
C3_KNN,F3_hog,KNN,C6_KNN,F6_bof,KNN,0.6427406199021207,243,527,55,60
C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,C5_LogisticRegression,F5_gist,LogisticRegression,0.7368134855899946,363,436,59,55
C3_LogisticRegression,F3_hog,LogisticRegression,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.6688417618270799,308,505,57,57
C3_LogisticRegression,F3_hog,LogisticRegression,C5_LogisticRegression,F5_gist,LogisticRegression,0.5736813485589994,174,444,59,55
C6_LogisticRegression,F6_bof,LogisticRegression,C2_DecisionTree,F2_texture,DecisionTree,0.7041870581837956,360,399,56,57
C1_DecisionTree,F1_color,DecisionTree,C2_DecisionTree,F2_texture,DecisionTree,0.6824361065796629,335,377,59,53
C2_LogisticRegression,F2_texture,LogisticRegression,C1_DecisionTree,F1_color,DecisionTree,0.6742794997281131,338,449,34,77
C3_LogisticRegression,F3_hog,LogisticRegression,C6_KNN,F6_bof,KNN,0.6601413811854269,282,495,60,51
C1_LogisticRegression,F1_color,LogisticRegression,C3_LogisticRegression,F3_hog,LogisticRegression,0.6302338227297444,443,323,51,60
C1_KNN,F1_color,KNN,C5_LogisticRegression,F5_gist,LogisticRegression,0.7058183795541055,315,487,45,65
C2_DecisionTree,F2_texture,DecisionTree,C6_KNN,F6_bof,KNN,0.7030995106035889,395,349,63,47
C5_KNN,F5_gist,KNN,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.6829798803697662,345,453,53,57
C2_LogisticRegression,F2_texture,LogisticRegression,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.6666666666666666,352,443,40,70
C2_KNN,F2_texture,KNN,C0_KNN,F0_pixels_gray,KNN,0.6280587275693311,307,390,29,81
C6_LogisticRegression,F6_bof,LogisticRegression,C1_DecisionTree,F1_color,DecisionTree,0.7139749864056553,405,402,51,58
C2_KNN,F2_texture,KNN,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.6421968461120174,304,415,50,59
C5_KNN,F5_gist,KNN,C1_LogisticRegression,F1_color,LogisticRegression,0.636215334420881,351,382,57,52
C3_KNN,F3_hog,KNN,C2_DecisionTree,F2_texture,DecisionTree,0.6193583469276781,195,525,44,65
C5_KNN,F5_gist,KNN,C1_KNN,F1_color,KNN,0.6280587275693311,352,361,64,44
C5_KNN,F5_gist,KNN,C6_KNN,F6_bof,KNN,0.675910821098423,319,443,56,51
C5_KNN,F5_gist,KNN,C2_DecisionTree,F2_texture,DecisionTree,0.6536160957041871,274,444,48,59
C3_LogisticRegression,F3_hog,LogisticRegression,C0_KNN,F0_pixels_gray,KNN,0.609026644915715,258,427,32,75
C6_LogisticRegression,F6_bof,LogisticRegression,C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,0.7123436650353453,412,389,56,50
C3_LogisticRegression,F3_hog,LogisticRegression,C6_LogisticRegression,F6_bof,LogisticRegression,0.6454594888526373,271,491,50,56
C1_LogisticRegression,F1_color,LogisticRegression,C2_DecisionTree,F2_texture,DecisionTree,0.6421968461120174,265,404,45,61
C0_KNN,F0_pixels_gray,KNN,C5_LogisticRegression,F5_gist,LogisticRegression,0.687873844480696,301,402,76,29
C2_KNN,F2_texture,KNN,C5_LogisticRegression,F5_gist,LogisticRegression,0.6688417618270799,271,455,50,55
C3_LogisticRegression,F3_hog,LogisticRegression,C2_DecisionTree,F2_texture,DecisionTree,0.6351277868406743,233,492,49,56
C1_KNN,F1_color,KNN,C6_LogisticRegression,F6_bof,LogisticRegression,0.6943991299619359,341,463,37,67
C1_LogisticRegression,F1_color,LogisticRegression,C6_KNN,F6_bof,KNN,0.6753670473083198,328,421,52,52
C1_KNN,F1_color,KNN,C3_LogisticRegression,F3_hog,LogisticRegression,0.6324089178901577,440,342,40,64
C1_LinearSVM_SGD,F1_color,LinearSVM_SGD,C2_DecisionTree,F2_texture,DecisionTree,0.6938553561718325,341,403,48,55
C3_KNN,F3_hog,KNN,C0_KNN,F0_pixels_gray,KNN,0.5725938009787929,201,441,23,80
C3_KNN,F3_hog,KNN,C2_KNN,F2_texture,KNN,0.5415986949429038,239,396,49,54
C2_LogisticRegression,F2_texture,LogisticRegression,C5_LogisticRegression,F5_gist,LogisticRegression,0.6514410005437737,275,439,38,64
C3_KNN,F3_hog,KNN,C5_LogisticRegression,F5_gist,LogisticRegression,0.6025013594344752,167,508,46,56
C5_LogisticRegression,F5_gist,LogisticRegression,C2_DecisionTree,F2_texture,DecisionTree,0.7058183795541055,362,351,45,56
C2_LogisticRegression,F2_texture,LogisticRegression,C1_LogisticRegression,F1_color,LogisticRegression,0.6030451332245785,341,355,40,61
C2_KNN,F2_texture,KNN,C1_LogisticRegression,F1_color,LogisticRegression,0.5965198477433388,316,350,50,50
C2_LogisticRegression,F2_texture,LogisticRegression,C3_LogisticRegression,F3_hog,LogisticRegression,0.5856443719412724,401,295,35,65
C1_KNN,F1_color,KNN,C2_DecisionTree,F2_texture,DecisionTree,0.6492659053833605,265,426,34,65
C5_KNN,F5_gist,KNN,C6_LogisticRegression,F6_bof,LogisticRegression,0.6851549755301795,337,468,44,54
C5_KNN,F5_gist,KNN,C2_LogisticRegression,F2_texture,LogisticRegression,0.6144643828167482,361,378,62,36
C3_KNN,F3_hog,KNN,C3_LogisticRegression,F3_hog,LogisticRegression,0.45187601957585644,224,295,42,56
C1_KNN,F1_color,KNN,C6_KNN,F6_bof,KNN,0.6813485589994562,329,444,41,56
C1_LogisticRegression,F1_color,LogisticRegression,C6_LogisticRegression,F6_bof,LogisticRegression,0.675910821098423,325,425,41,56
C3_KNN,F3_hog,KNN,C2_LogisticRegression,F2_texture,LogisticRegression,0.5666122892876564,261,438,56,40
C2_KNN,F2_texture,KNN,C3_LogisticRegression,F3_hog,LogisticRegression,0.5731375747688962,381,295,43,52
