run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
S3_13_C11_reference_full_handcrafted__LightGBM,S3_13_C11_reference_full_handcrafted,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,LightGBM,8581,1839,0.8156606852,0.8177850411,0.8039793801,0.8096497497,0.8144865078,0.8157689034,193.9678,0.2545,194.2223,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8476190476,0.8279069767,0.8254716981,0.8353221957,0.9436619718,0.9069373942,0.8230769231,0.8106060606,0.65,0.6893939394,0.78,0.7938931298,0.75,0.7422680412,0.8202764977,0.8221709007,0.7058823529,0.7741935484
S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof__LightGBM,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,LightGBM,8581,1839,0.81348559,0.8156796662,0.8010813641,0.8071305522,0.8124200537,0.8108669426,175.2229,0.2359,175.4588,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8476190476,0.8356807512,0.8160377358,0.8317307692,0.9366197183,0.9094017094,0.8115384615,0.797731569,0.6428571429,0.6870229008,0.775,0.7868020305,0.7666666667,0.7510204082,0.8294930876,0.8200455581,0.6911764706,0.7580645161
S3_12_C10_reference_no_bof__LightGBM,S3_12_C10_reference_no_bof,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog,2909,LightGBM,8581,1839,0.8091353997,0.8091613811,0.796452145,0.8019770252,0.8080018319,0.7961176801,193.5512,0.3519,193.9031,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8495575221,0.8687782805,0.8476190476,0.8436018957,0.8254716981,0.8215962441,0.9436619718,0.9115646259,0.7846153846,0.7861271676,0.6571428571,0.6891385768,0.795,0.7930174564,0.75,0.756302521,0.8202764977,0.8036117381,0.6911764706,0.746031746
S3_05_F3_hog__F1_color__F2_texture__LightGBM,S3_05_F3_hog__F1_color__F2_texture,adaptive_candidate,F3_hog+F1_color+F2_texture,2833,LightGBM,8581,1839,0.8069603045,0.8104736252,0.7941691624,0.801196805,0.8057788052,0.8005701396,216.1213,0.3762,216.4975,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.8828828829,0.8285714286,0.8325358852,0.820754717,0.8226950355,0.9436619718,0.9131175468,0.8,0.7834274953,0.6285714286,0.6692015209,0.78,0.7938931298,0.7375,0.739039666,0.8294930876,0.8071748879,0.7058823529,0.768
S3_08_F3_hog__F1_color__F2_texture__F5_gist__LightGBM,S3_08_F3_hog__F1_color__F2_texture__F5_gist,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist,2897,LightGBM,8581,1839,0.8009787928,0.8026696317,0.78870551,0.7947198122,0.7995843757,0.7963977922,153.1688,0.2483,153.4171,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8495575221,0.8571428571,0.819047619,0.8269230769,0.8301886792,0.8321513002,0.9401408451,0.9050847458,0.7884615385,0.7765151515,0.6142857143,0.6615384615,0.785,0.783042394,0.7333333333,0.7394957983,0.8064516129,0.7936507937,0.7205882353,0.7716535433
S3_11_F1_color__F2_texture__F5_gist__LightGBM,S3_11_F1_color__F2_texture__F5_gist,reference_combo,F1_color+F2_texture+F5_gist,1133,LightGBM,8581,1839,0.7868406743,0.7886981606,0.7814365141,0.7844679925,0.786204847,0.8103740611,57.1826,0.2185,57.401,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.8596491228,0.8285714286,0.8169014085,0.8113207547,0.8289156627,0.911971831,0.8885077187,0.7576923077,0.76953125,0.6357142857,0.6691729323,0.795,0.7851851852,0.725,0.7102040816,0.7465437788,0.7414187643,0.7352941176,0.7751937984
S3_06_F3_hog__F1_color__F5_gist__LightGBM,S3_06_F3_hog__F1_color__F5_gist,adaptive_candidate,F3_hog+F1_color+F5_gist,2867,LightGBM,8581,1839,0.7852093529,0.7839360559,0.7736946863,0.7782164265,0.7839813631,0.7880964775,223.1777,0.3071,223.4848,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8584070796,0.8660714286,0.8,0.8,0.8113207547,0.8132387707,0.926056338,0.8930390492,0.8,0.7938931298,0.6214285714,0.6516853933,0.705,0.7085427136,0.7208333333,0.7284210526,0.7880184332,0.7772727273,0.7058823529,0.75
S3_01_F3_hog__F1_color__LightGBM,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,LightGBM,8581,1839,0.7737901033,0.7770314846,0.7636531895,0.7688542861,0.7725251634,0.7875916148,213.4786,0.3481,213.8267,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.852173913,0.819047619,0.8075117371,0.8018867925,0.8095238095,0.9225352113,0.897260274,0.7846153846,0.7771428571,0.6071428571,0.6343283582,0.695,0.6967418546,0.6791666667,0.6877637131,0.7834101382,0.7657657658,0.6764705882,0.7603305785
S3_10_F1_color__F2_texture__LightGBM,S3_10_F1_color__F2_texture,reference_combo,F1_color+F2_texture,1069,LightGBM,8581,1839,0.74605764,0.7514378646,0.7381924522,0.7431816061,0.7453804342,0.7686580237,52.8928,0.1736,53.0664,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8407079646,0.8189655172,0.8476190476,0.8317757009,0.8018867925,0.8095238095,0.8838028169,0.8715277778,0.7423076923,0.7310606061,0.6,0.6199261993,0.73,0.7487179487,0.6958333333,0.668,0.6221198157,0.6323185012,0.6176470588,0.7
S3_07_F3_hog__F2_texture__F5_gist__XGBoost,S3_07_F3_hog__F2_texture__F5_gist,adaptive_candidate,F3_hog+F2_texture+F5_gist,1858,XGBoost,8581,1839,0.7264817836,0.7296451495,0.7109108713,0.7171398844,0.7238030869,0.7212637267,191.8652,0.0387,191.9039,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8318584071,0.8209606987,0.7142857143,0.6976744186,0.7405660377,0.7476190476,0.9154929577,0.8710217755,0.6923076923,0.6666666667,0.4928571429,0.5609756098,0.715,0.6891566265,0.6333333333,0.6608695652,0.7557603687,0.7505720824,0.6176470588,0.7058823529
S3_02_F3_hog__F2_texture__XGBoost,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,XGBoost,8581,1839,0.7090810223,0.7103554292,0.6944890688,0.6986524287,0.7065912942,0.709239566,205.3093,0.0336,205.3429,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8053097345,0.7844827586,0.7047619048,0.6666666667,0.7216981132,0.7216981132,0.8978873239,0.8600337268,0.7038461538,0.6666666667,0.4785714286,0.5491803279,0.7,0.6572769953,0.5916666667,0.6382022472,0.7235023041,0.7423167849,0.6176470588,0.7
S3_04_F3_hog__F6_bof__LightGBM,S3_04_F3_hog__F6_bof,one_step_addition,F3_hog+F6_bof,2020,LightGBM,8581,1839,0.7096247961,0.7140855666,0.6856536071,0.6955712796,0.7062128332,0.655665452,199.442,0.2774,199.7194,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.7787610619,0.7892376682,0.6,0.6237623762,0.6745283019,0.6941747573,0.9295774648,0.8756218905,0.7,0.6678899083,0.4928571429,0.5476190476,0.705,0.6828087167,0.6041666667,0.6430155211,0.7834101382,0.7359307359,0.5882352941,0.6956521739
S3_03_F3_hog__F5_gist__LightGBM,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,LightGBM,8581,1839,0.6965742251,0.6999221181,0.6752953322,0.682022096,0.6930173399,0.6787160292,181.1338,0.2798,181.4136,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.814159292,0.8251121076,0.619047619,0.5726872247,0.7028301887,0.6978922717,0.9084507042,0.86,0.7038461538,0.6678832117,0.4071428571,0.4978165939,0.63,0.6131386861,0.6041666667,0.6415929204,0.7603686636,0.7432432432,0.6029411765,0.7008547009
S3_00_F3_hog__LightGBM,S3_00_F3_hog,best_single_anchor,F3_hog,1764,LightGBM,8581,1839,0.6612289288,0.6626837135,0.6297899249,0.6368954931,0.6570884726,0.5929496872,173.8549,0.3231,174.178,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.7610619469,0.7413793103,0.5619047619,0.5175438596,0.6273584906,0.6363636364,0.8908450704,0.8405315615,0.6961538462,0.6642201835,0.3928571429,0.4680851064,0.605,0.5789473684,0.5833333333,0.6263982103,0.7235023041,0.6993318486,0.4558823529,0.5961538462
