overall_rank,shortlist_reasons,run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
1,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive; best_model_family_representative,S3_13_C11_reference_full_handcrafted__LightGBM,S3_13_C11_reference_full_handcrafted,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,LightGBM,8581,1839,0.8156606852,0.8177850411,0.8039793801,0.8096497497,0.8144865078,0.8157689034,193.9678,0.2545,194.2223,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8476190476,0.8279069767,0.8254716981,0.8353221957,0.9436619718,0.9069373942,0.8230769231,0.8106060606,0.65,0.6893939394,0.78,0.7938931298,0.75,0.7422680412,0.8202764977,0.8221709007,0.7058823529,0.7741935484
2,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof__LightGBM,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,LightGBM,8581,1839,0.81348559,0.8156796662,0.8010813641,0.8071305522,0.8124200537,0.8108669426,175.2229,0.2359,175.4588,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8476190476,0.8356807512,0.8160377358,0.8317307692,0.9366197183,0.9094017094,0.8115384615,0.797731569,0.6428571429,0.6870229008,0.775,0.7868020305,0.7666666667,0.7510204082,0.8294930876,0.8200455581,0.6911764706,0.7580645161
3,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive,S3_12_C10_reference_no_bof__LightGBM,S3_12_C10_reference_no_bof,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog,2909,LightGBM,8581,1839,0.8091353997,0.8091613811,0.796452145,0.8019770252,0.8080018319,0.7961176801,193.5512,0.3519,193.9031,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8495575221,0.8687782805,0.8476190476,0.8436018957,0.8254716981,0.8215962441,0.9436619718,0.9115646259,0.7846153846,0.7861271676,0.6571428571,0.6891385768,0.795,0.7930174564,0.75,0.756302521,0.8202764977,0.8036117381,0.6911764706,0.746031746
4,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive,S3_05_F3_hog__F1_color__F2_texture__LightGBM,S3_05_F3_hog__F1_color__F2_texture,adaptive_candidate,F3_hog+F1_color+F2_texture,2833,LightGBM,8581,1839,0.8069603045,0.8104736252,0.7941691624,0.801196805,0.8057788052,0.8005701396,216.1213,0.3762,216.4975,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.8828828829,0.8285714286,0.8325358852,0.820754717,0.8226950355,0.9436619718,0.9131175468,0.8,0.7834274953,0.6285714286,0.6692015209,0.78,0.7938931298,0.7375,0.739039666,0.8294930876,0.8071748879,0.7058823529,0.768
5,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive; best_model_family_representative,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof__XGBoost,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,XGBoost,8581,1839,0.8020663404,0.8052900505,0.7930698957,0.7980302997,0.8008508448,0.8140415458,230.0569,0.0411,230.0979,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8571428571,0.8372093023,0.8301886792,0.8301886792,0.9366197183,0.9032258065,0.7846153846,0.7786259542,0.6428571429,0.6691449814,0.785,0.783042394,0.7166666667,0.7226890756,0.7926267281,0.7981438515,0.6911764706,0.7642276423
6,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive,S3_13_C11_reference_full_handcrafted__XGBoost,S3_13_C11_reference_full_handcrafted,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,XGBoost,8581,1839,0.8015225666,0.8059264928,0.7911863518,0.7973916286,0.8003355142,0.8079170901,291.3672,0.0462,291.4134,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8849557522,0.8849557522,0.8476190476,0.8436018957,0.8254716981,0.8235294118,0.9401408451,0.9081632653,0.7923076923,0.7773584906,0.6428571429,0.6741573034,0.755,0.7607052897,0.7166666667,0.719665272,0.8156682028,0.817551963,0.6911764706,0.7642276423
7,top8_macro_f1; within_0.015_of_best_macro_f1; minority_recall_competitive,S3_08_F3_hog__F1_color__F2_texture__F5_gist__LightGBM,S3_08_F3_hog__F1_color__F2_texture__F5_gist,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist,2897,LightGBM,8581,1839,0.8009787928,0.8026696317,0.78870551,0.7947198122,0.7995843757,0.7963977922,153.1688,0.2483,153.4171,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8495575221,0.8571428571,0.819047619,0.8269230769,0.8301886792,0.8321513002,0.9401408451,0.9050847458,0.7884615385,0.7765151515,0.6142857143,0.6615384615,0.785,0.783042394,0.7333333333,0.7394957983,0.8064516129,0.7936507937,0.7205882353,0.7716535433
8,top8_macro_f1; minority_recall_competitive,S3_11_F1_color__F2_texture__F5_gist__LightGBM,S3_11_F1_color__F2_texture__F5_gist,reference_combo,F1_color+F2_texture+F5_gist,1133,LightGBM,8581,1839,0.7868406743,0.7886981606,0.7814365141,0.7844679925,0.786204847,0.8103740611,57.1826,0.2185,57.401,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.8596491228,0.8285714286,0.8169014085,0.8113207547,0.8289156627,0.911971831,0.8885077187,0.7576923077,0.76953125,0.6357142857,0.6691729323,0.795,0.7851851852,0.725,0.7102040816,0.7465437788,0.7414187643,0.7352941176,0.7751937984
9,minority_recall_competitive,S3_08_F3_hog__F1_color__F2_texture__F5_gist__XGBoost,S3_08_F3_hog__F1_color__F2_texture__F5_gist,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist,2897,XGBoost,8581,1839,0.7868406743,0.7936199829,0.7781031549,0.7844586364,0.7858840533,0.8003453889,277.895,0.0433,277.9383,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8761061947,0.8684210526,0.819047619,0.8229665072,0.8018867925,0.8133971292,0.9225352113,0.9018932874,0.7807692308,0.7631578947,0.6142857143,0.6441947566,0.785,0.7639902676,0.6875,0.7006369427,0.7880184332,0.7790432802,0.7058823529,0.7868852459
10,minority_recall_competitive,S3_05_F3_hog__F1_color__F2_texture__XGBoost,S3_05_F3_hog__F1_color__F2_texture,adaptive_candidate,F3_hog+F1_color+F2_texture,2833,XGBoost,8581,1839,0.7857531267,0.7866106131,0.7773270958,0.7811248528,0.7849300433,0.8010196409,295.4449,0.0538,295.4988,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8495575221,0.8571428571,0.8476190476,0.8240740741,0.820754717,0.8111888112,0.926056338,0.9195804196,0.7615384615,0.75,0.6142857143,0.6490566038,0.76,0.7562189055,0.7041666667,0.7145877378,0.7834101382,0.7674943567,0.7058823529,0.7619047619
