rank,combo_id,feature_ids,best_model,feature_dim,validation_macro_f1,minority_recall_mean,macro_f1_delta_vs_F3_anchor,minority_recall_delta_vs_F3_anchor,total_seconds
1,S3_13_C11_reference_full_handcrafted,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,LightGBM,3165,0.8096497497,0.8157689034,0.1727542566,0.2228192162,194.2223
2,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,LightGBM,3153,0.8071305522,0.8108669426,0.1702350591,0.2179172554,175.4588
3,S3_12_C10_reference_no_bof,F1_color+F2_texture+F4_shape+F5_gist+F3_hog,LightGBM,2909,0.8019770252,0.7961176801,0.1650815321,0.2031679929,193.9031
4,S3_05_F3_hog__F1_color__F2_texture,F3_hog+F1_color+F2_texture,LightGBM,2833,0.801196805,0.8005701396,0.1643013119,0.2076204524,216.4975
5,S3_08_F3_hog__F1_color__F2_texture__F5_gist,F3_hog+F1_color+F2_texture+F5_gist,LightGBM,2897,0.7947198122,0.7963977922,0.1578243191,0.203448105,153.4171
6,S3_11_F1_color__F2_texture__F5_gist,F1_color+F2_texture+F5_gist,LightGBM,1133,0.7844679925,0.8103740611,0.1475724994,0.2174243739,57.401
7,S3_06_F3_hog__F1_color__F5_gist,F3_hog+F1_color+F5_gist,LightGBM,2867,0.7782164265,0.7880964775,0.1413209334,0.1951467903,223.4848
8,S3_01_F3_hog__F1_color,F3_hog+F1_color,LightGBM,2803,0.7688542861,0.7875916148,0.131958793,0.1946419276,213.8267
9,S3_10_F1_color__F2_texture,F1_color+F2_texture,LightGBM,1069,0.7431816061,0.7686580237,0.106286113,0.1757083365,53.0664
10,S3_07_F3_hog__F2_texture__F5_gist,F3_hog+F2_texture+F5_gist,XGBoost,1858,0.7171398844,0.7212637267,0.0802443913,0.1283140395,191.9039
11,S3_02_F3_hog__F2_texture,F3_hog+F2_texture,XGBoost,1794,0.6986524287,0.709239566,0.0617569356,0.1162898788,205.3429
12,S3_04_F3_hog__F6_bof,F3_hog+F6_bof,LightGBM,2020,0.6955712796,0.655665452,0.0586757865,0.0627157648,199.7194
13,S3_03_F3_hog__F5_gist,F3_hog+F5_gist,LightGBM,1828,0.682022096,0.6787160292,0.0451266029,0.085766342,181.4136
14,S3_00_F3_hog,F3_hog,LightGBM,1764,0.6368954931,0.5929496872,0.0,0.0,174.178
