run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
S3_00_F3_hog__LogisticRegression,S3_00_F3_hog,best_single_anchor,F3_hog,1764,LogisticRegression,8581,1839,0.4812398042,0.4448169375,0.4499268496,0.4458226172,0.4831433223,0.3860980971,2.5135,0.0069,2.5205,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.4867256637,0.474137931,0.3333333333,0.3017241379,0.429245283,0.4607594937,0.7781690141,0.7594501718,0.45,0.4615384615,0.3357142857,0.3042071197,0.385,0.3879093199,0.4375,0.4719101124,0.5253456221,0.5339578454,0.3382352941,0.3026315789
S3_00_F3_hog__KNN,S3_00_F3_hog,best_single_anchor,F3_hog,1764,KNN,8581,1839,0.5997824905,0.5675022092,0.5665566069,0.561210632,0.5951121457,0.5207774555,0.1179,3.7459,3.8638,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.7168141593,0.648,0.419047619,0.3859649123,0.6462264151,0.628440367,0.9366197183,0.8060606061,0.5423076923,0.5826446281,0.3571428571,0.3831417625,0.53,0.554973822,0.5333333333,0.5389473684,0.5576036866,0.6666666667,0.4264705882,0.4172661871
S3_00_F3_hog__LinearSVM_SGD,S3_00_F3_hog,best_single_anchor,F3_hog,1764,LinearSVM_SGD,8581,1839,0.5160413268,0.4812985769,0.471298368,0.4725987932,0.517773272,0.3912008461,81.0929,0.0177,81.1106,"{""alpha"": 0.0003, ""average"": true, ""class_weight"": ""balanced"", ""learning_rate"": ""optimal""}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,0.5486725664,0.5560538117,0.419047619,0.384279476,0.4481132075,0.5107526882,0.8098591549,0.8013937282,0.5846153846,0.5371024735,0.2857142857,0.2693602694,0.375,0.4098360656,0.5291666667,0.4783427495,0.5069124424,0.5774278215,0.2058823529,0.2014388489
S3_00_F3_hog__DecisionTree,S3_00_F3_hog,best_single_anchor,F3_hog,1764,DecisionTree,8581,1839,0.3752039152,0.3563077875,0.3774083348,0.3601194614,0.3769395495,0.4449096453,4.536,0.0039,4.5399,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.6, ""min_samples_leaf"": 10}",,0.5221238938,0.4555984556,0.3714285714,0.3011583012,0.3632075472,0.3840399002,0.5704225352,0.5955882353,0.2615384615,0.3049327354,0.2285714286,0.2154882155,0.365,0.365,0.3833333333,0.3923240938,0.267281106,0.2885572139,0.4411764706,0.2985074627
S3_00_F3_hog__RandomForest,S3_00_F3_hog,best_single_anchor,F3_hog,1764,RandomForest,8581,1839,0.5889070147,0.5987190588,0.5604091022,0.5621869216,0.5813195198,0.5549684771,7.378,0.0335,7.4115,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 260}",,0.7345132743,0.6693548387,0.5333333333,0.4392156863,0.5613207547,0.5905707196,0.911971831,0.7731343284,0.6038461538,0.5980952381,0.3071428571,0.4018691589,0.555,0.5034013605,0.4791666667,0.5437352246,0.5207373272,0.567839196,0.3970588235,0.5346534653
S3_00_F3_hog__XGBoost,S3_00_F3_hog,best_single_anchor,F3_hog,1764,XGBoost,8581,1839,0.6514410005,0.6530356423,0.6192697587,0.6256062695,0.647568221,0.5765718087,189.538,0.0488,189.5868,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.7699115044,0.725,0.5333333333,0.4955752212,0.6320754717,0.6442307692,0.9084507042,0.8585690516,0.6538461538,0.6148282098,0.3928571429,0.4508196721,0.64,0.5995316159,0.5583333333,0.6063348416,0.6774193548,0.6869158879,0.4264705882,0.5742574257
S3_00_F3_hog__LightGBM,S3_00_F3_hog,best_single_anchor,F3_hog,1764,LightGBM,8581,1839,0.6612289288,0.6626837135,0.6297899249,0.6368954931,0.6570884726,0.5929496872,173.8549,0.3231,174.178,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.7610619469,0.7413793103,0.5619047619,0.5175438596,0.6273584906,0.6363636364,0.8908450704,0.8405315615,0.6961538462,0.6642201835,0.3928571429,0.4680851064,0.605,0.5789473684,0.5833333333,0.6263982103,0.7235023041,0.6993318486,0.4558823529,0.5961538462
S3_01_F3_hog__F1_color__LogisticRegression,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,LogisticRegression,8581,1839,0.5872756933,0.5625495731,0.5719108573,0.5658245089,0.5890842963,0.5876254927,4.5206,0.0181,4.5387,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.6637168142,0.612244898,0.6285714286,0.6226415094,0.6179245283,0.6582914573,0.8028169014,0.8085106383,0.5269230769,0.5490981964,0.3857142857,0.3698630137,0.465,0.4685138539,0.5541666667,0.5553235908,0.6036866359,0.598173516,0.4705882353,0.4155844156
S3_01_F3_hog__F1_color__KNN,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,KNN,8581,1839,0.5551930397,0.5251723101,0.5299984698,0.5198648049,0.5501464287,0.5334205068,0.2204,7.7144,7.9348,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.7079646018,0.6837606838,0.4952380952,0.416,0.6320754717,0.6291079812,0.8873239437,0.8076923077,0.4307692308,0.4923076923,0.25,0.3056768559,0.51,0.48,0.5333333333,0.4990253411,0.4562211982,0.5454545455,0.3970588235,0.3396226415
S3_01_F3_hog__F1_color__LinearSVM_SGD,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,LinearSVM_SGD,8581,1839,0.624252311,0.5990759226,0.5980110622,0.5968310191,0.6233495474,0.570407278,168.8412,0.0256,168.8668,"{""alpha"": 0.0003, ""average"": true, ""class_weight"": ""balanced"", ""learning_rate"": ""optimal""}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,0.6725663717,0.6725663717,0.6857142857,0.6575342466,0.6839622642,0.7196029777,0.8591549296,0.8092868988,0.6423076923,0.6162361624,0.4642857143,0.4180064309,0.485,0.5105263158,0.5166666667,0.5535714286,0.6175115207,0.6473429952,0.3529411765,0.3636363636
