trial_id,candidate_id,model,combo_label,feature_ids,feature_dim,trial_index,inner_train_samples,inner_validation_samples,inner_macro_f1,inner_macro_precision,inner_macro_recall,inner_weighted_f1,inner_minority_recall_mean,fit_seconds,predict_seconds,best_iteration,sample_weight_mode,params,warnings
LGBM_A_C11_full__trial_01,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,1,4200,1400,0.7359692792,0.7698052597,0.7207760767,0.7506540179,0.6615280595,121.9529,0.1708,374,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sample_weight_mode"": null, ""subsample"": 0.85}",
LGBM_A_C11_full__trial_02,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,2,4200,1400,0.7293248825,0.7539908328,0.7169262917,0.7446754931,0.6614294568,64.8193,0.077,316,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""sample_weight_mode"": null, ""subsample"": 1.0}",
LGBM_A_C11_full__trial_03,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,3,4200,1400,0.7500661092,0.7664762413,0.7407450302,0.7601229262,0.7186584404,118.2951,0.1486,460,balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 80, ""n_estimators"": 460, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""sample_weight_mode"": ""balanced"", ""subsample"": 1.0}",
LGBM_A_C11_full__trial_04,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,4,4200,1400,0.7458541712,0.7619241233,0.7366532934,0.7554698056,0.7189936894,79.5694,0.1058,288,balanced,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 10, ""min_child_samples"": 40, ""n_estimators"": 650, ""num_leaves"": 15, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""sample_weight_mode"": ""balanced"", ""subsample"": 0.85}",
LGBM_A_C11_full__trial_05,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,5,4200,1400,0.7185551286,0.7467820684,0.7074647167,0.7347291357,0.6543216137,64.3221,0.0446,226,,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 10, ""n_estimators"": 800, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""sample_weight_mode"": null, ""subsample"": 1.0}",
LGBM_A_C11_full__trial_06,LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,6,4200,1400,0.7470119901,0.7647085867,0.7375903912,0.7558223625,0.7231603561,79.1238,0.1119,320,balanced,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 10, ""n_estimators"": 320, ""num_leaves"": 15, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""sample_weight_mode"": ""balanced"", ""subsample"": 1.0}",
LGBM_B_no_shape__trial_01,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,1,4200,1400,0.735335559,0.7682611476,0.7206218579,0.7493617538,0.6661511156,132.9771,0.2179,358,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sample_weight_mode"": null, ""subsample"": 0.85}",
LGBM_B_no_shape__trial_02,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,2,4200,1400,0.7242268792,0.7454852543,0.7130561564,0.7380982769,0.6670582601,62.1413,0.0961,315,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""sample_weight_mode"": null, ""subsample"": 1.0}",
LGBM_B_no_shape__trial_03,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,3,4200,1400,0.7519813642,0.7665289146,0.7445092274,0.7637132982,0.7220334686,114.3493,0.1179,460,balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 80, ""n_estimators"": 460, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""sample_weight_mode"": ""balanced"", ""subsample"": 1.0}",
LGBM_B_no_shape__trial_04,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,4,4200,1400,0.7405457379,0.7577348774,0.7310597633,0.7536139746,0.6993858463,76.4089,0.0945,286,balanced,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 10, ""min_child_samples"": 40, ""n_estimators"": 650, ""num_leaves"": 15, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""sample_weight_mode"": ""balanced"", ""subsample"": 0.85}",
LGBM_B_no_shape__trial_05,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,5,4200,1400,0.7148961694,0.7468183986,0.7032520295,0.736323853,0.6270509353,62.1851,0.0882,228,,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 10, ""n_estimators"": 800, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""sample_weight_mode"": null, ""subsample"": 1.0}",
LGBM_B_no_shape__trial_06,LGBM_B_no_shape,LightGBM,B_no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3135,6,4200,1400,0.7478055814,0.7636612732,0.7394215652,0.7588292588,0.7178668019,77.4087,0.1071,320,balanced,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_samples"": 10, ""n_estimators"": 320, ""num_leaves"": 15, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""sample_weight_mode"": ""balanced"", ""subsample"": 1.0}",
