base_id,fold_index,combo_id,feature_ids,output_type,train_samples,holdout_samples,feature_dim_raw,fit_seconds,predict_seconds,holdout_macro_f1,holdout_minority_recall_mean,params,warnings
lr_c11_balanced,1,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6864,1717,3165,1.2454,0.0335,0.64407069,0.6611173951,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
lr_c11_balanced,2,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,1.4584,0.0857,0.6382500958,0.6608979021,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
lr_c11_balanced,3,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,1.1404,0.0138,0.6237852162,0.5943824071,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
lr_c11_balanced,4,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,1.0806,0.013,0.6478887502,0.6782968953,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
lr_c11_balanced,5,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,1.0037,0.0261,0.6646154787,0.6570260325,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
sgd_svm_hct_balanced,1,hog_color_texture,F3_hog+F1_color+F2_texture,decision,6864,1717,2833,72.8138,0.0573,0.5788028565,0.5584187685,"{""base_id"": ""sgd_svm_hct_balanced"", ""combo_id"": ""hog_color_texture"", ""description"": ""Linear-kernel SVM via SGD on HOG+Color+Texture."", ""group"": ""small"", ""model_type"": ""sgd_svm"", ""output_type"": ""decision"", ""params"": {""alpha"": 8e-05, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""tol"": 0.001}}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.
sgd_svm_hct_balanced,2,hog_color_texture,F3_hog+F1_color+F2_texture,decision,6865,1716,2833,97.6079,0.1143,0.5882041107,0.549815314,"{""base_id"": ""sgd_svm_hct_balanced"", ""combo_id"": ""hog_color_texture"", ""description"": ""Linear-kernel SVM via SGD on HOG+Color+Texture."", ""group"": ""small"", ""model_type"": ""sgd_svm"", ""output_type"": ""decision"", ""params"": {""alpha"": 8e-05, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""tol"": 0.001}}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.
sgd_svm_hct_balanced,3,hog_color_texture,F3_hog+F1_color+F2_texture,decision,6865,1716,2833,105.6987,0.0494,0.5643575254,0.527624467,"{""base_id"": ""sgd_svm_hct_balanced"", ""combo_id"": ""hog_color_texture"", ""description"": ""Linear-kernel SVM via SGD on HOG+Color+Texture."", ""group"": ""small"", ""model_type"": ""sgd_svm"", ""output_type"": ""decision"", ""params"": {""alpha"": 8e-05, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""tol"": 0.001}}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.
sgd_svm_hct_balanced,4,hog_color_texture,F3_hog+F1_color+F2_texture,decision,6865,1716,2833,109.0737,0.1281,0.5995677732,0.6059270668,"{""base_id"": ""sgd_svm_hct_balanced"", ""combo_id"": ""hog_color_texture"", ""description"": ""Linear-kernel SVM via SGD on HOG+Color+Texture."", ""group"": ""small"", ""model_type"": ""sgd_svm"", ""output_type"": ""decision"", ""params"": {""alpha"": 8e-05, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""tol"": 0.001}}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.
sgd_svm_hct_balanced,5,hog_color_texture,F3_hog+F1_color+F2_texture,decision,6865,1716,2833,112.3947,0.1339,0.6010179253,0.5961226739,"{""base_id"": ""sgd_svm_hct_balanced"", ""combo_id"": ""hog_color_texture"", ""description"": ""Linear-kernel SVM via SGD on HOG+Color+Texture."", ""group"": ""small"", ""model_type"": ""sgd_svm"", ""output_type"": ""decision"", ""params"": {""alpha"": 8e-05, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""tol"": 0.001}}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.
rf_lowdim_balanced,1,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6864,1717,1133,3.8778,0.2574,0.655482206,0.6290431267,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,2,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.5784,0.0614,0.6839985153,0.6989332421,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,3,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.074,0.0607,0.6497729972,0.6655400106,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,4,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.1672,0.06,0.6632878869,0.6709807613,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,5,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.0226,0.0597,0.6714229262,0.7043680704,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
