ensemble_id,ensemble_type,base_ids,num_base_models,num_meta_features,meta_model,meta_C,meta_weight_mode,inner_cv_macro_f1,inner_cv_minority_recall_mean,inner_cv_weighted_f1,fit_seconds_total,params,warnings
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.1,none,0.7664650494,0.7352999406,0.7767472992,0.277,"{""C"": 0.1, ""weight_mode"": ""none""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.1,balanced_class_weight,0.761941844,0.7889668495,0.7752859601,0.2411,"{""C"": 0.1, ""weight_mode"": ""balanced_class_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.1,sqrt_sample_weight,0.7681857582,0.7640251475,0.778392525,0.1907,"{""C"": 0.1, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.3,none,0.7662324202,0.7343538807,0.7768416551,0.2235,"{""C"": 0.3, ""weight_mode"": ""none""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.3,balanced_class_weight,0.7620830778,0.7940028889,0.7754743625,0.2116,"{""C"": 0.3, ""weight_mode"": ""balanced_class_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,0.3,sqrt_sample_weight,0.7676010549,0.7632326921,0.7781078129,0.2157,"{""C"": 0.3, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,1.0,none,0.7660917865,0.7337249499,0.776134624,0.2702,"{""C"": 1.0, ""weight_mode"": ""none""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,1.0,balanced_class_weight,0.7618358982,0.795630612,0.7758690729,0.2826,"{""C"": 1.0, ""weight_mode"": ""balanced_class_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,1.0,sqrt_sample_weight,0.7674527144,0.7660701373,0.7781363804,0.2676,"{""C"": 1.0, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,3.0,none,0.7670093958,0.7370805338,0.7765564037,0.3068,"{""C"": 3.0, ""weight_mode"": ""none""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,3.0,balanced_class_weight,0.7610730402,0.7962068103,0.7747338704,0.3574,"{""C"": 3.0, ""weight_mode"": ""balanced_class_weight""}",
stack_small_only,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt,5,50,LogisticRegression,3.0,sqrt_sample_weight,0.7665039472,0.7641306124,0.7776613516,0.3434,"{""C"": 3.0, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.1,none,0.7824259782,0.7489293473,0.7926903765,0.1649,"{""C"": 0.1, ""weight_mode"": ""none""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.1,balanced_class_weight,0.7789428487,0.7955679595,0.7932842574,0.1604,"{""C"": 0.1, ""weight_mode"": ""balanced_class_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.1,sqrt_sample_weight,0.7821800534,0.775033366,0.7938026822,0.1531,"{""C"": 0.1, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.3,none,0.7809585733,0.7487658227,0.7915656839,0.2063,"{""C"": 0.3, ""weight_mode"": ""none""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.3,balanced_class_weight,0.7777483786,0.7931531082,0.7925934416,0.2216,"{""C"": 0.3, ""weight_mode"": ""balanced_class_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,0.3,sqrt_sample_weight,0.7818076752,0.7745580397,0.793860341,0.2102,"{""C"": 0.3, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,1.0,none,0.781614356,0.7549641789,0.7919031677,0.2792,"{""C"": 1.0, ""weight_mode"": ""none""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,1.0,balanced_class_weight,0.7750104456,0.7925769099,0.790612371,0.3101,"{""C"": 1.0, ""weight_mode"": ""balanced_class_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,1.0,sqrt_sample_weight,0.780643969,0.7742989703,0.7924963872,0.3141,"{""C"": 1.0, ""weight_mode"": ""sqrt_sample_weight""}",
stack_small_plus_lgbm_anchor,stacking,lr_c11_balanced+sgd_svm_hct_balanced+rf_lowdim_balanced+knn_compact_gist_texture_shape+lgbm_small_hct_sqrt+lgbm_anchor_c11_sqrt,6,60,LogisticRegression,3.0,none,0.7807638327,0.753024654,0.7913356642,0.3865,"{""C"": 3.0, ""weight_mode"": ""none""}",
