label,total,train_count,train_ratio,validation_count,validation_ratio,test_count,test_ratio
battery,756,530,0.7011,113,0.1495,113,0.1495
biological,699,489,0.6996,105,0.1502,105,0.1502
cardboard,1411,987,0.6995,212,0.1502,212,0.1502
clothes,1892,1324,0.6998,284,0.1501,284,0.1501
glass,1736,1216,0.7005,260,0.1498,260,0.1498
metal,930,650,0.6989,140,0.1505,140,0.1505
paper,1336,936,0.7006,200,0.1497,200,0.1497
plastic,1597,1117,0.6994,240,0.1503,240,0.1503
shoes,1449,1015,0.7005,217,0.1498,217,0.1498
trash,453,317,0.6998,68,0.1501,68,0.1501
