image_id,label,path,file_name,extension,file_size_bytes,is_readable,width,height,mode,channels,format,error,split
img_000001,battery,data/garbage-classification-v2/standardized_256/battery/battery_1.jpg,battery_1.jpg,.jpg,17329,True,256,256,RGB,3,JPEG,,validation
img_000002,battery,data/garbage-classification-v2/standardized_256/battery/battery_10.jpg,battery_10.jpg,.jpg,24174,True,256,256,RGB,3,JPEG,,train
img_000003,battery,data/garbage-classification-v2/standardized_256/battery/battery_100.jpg,battery_100.jpg,.jpg,24998,True,256,256,RGB,3,JPEG,,train
img_000004,battery,data/garbage-classification-v2/standardized_256/battery/battery_101.jpg,battery_101.jpg,.jpg,12403,True,256,256,RGB,3,JPEG,,validation
img_000005,battery,data/garbage-classification-v2/standardized_256/battery/battery_102.jpg,battery_102.jpg,.jpg,9436,True,256,256,RGB,3,JPEG,,train
img_000006,battery,data/garbage-classification-v2/standardized_256/battery/battery_103.jpg,battery_103.jpg,.jpg,11709,True,256,256,RGB,3,JPEG,,train
img_000007,battery,data/garbage-classification-v2/standardized_256/battery/battery_104.jpg,battery_104.jpg,.jpg,18227,True,256,256,RGB,3,JPEG,,test
img_000008,battery,data/garbage-classification-v2/standardized_256/battery/battery_105.jpg,battery_105.jpg,.jpg,10421,True,256,256,RGB,3,JPEG,,validation
img_000009,battery,data/garbage-classification-v2/standardized_256/battery/battery_106.jpg,battery_106.jpg,.jpg,19720,True,256,256,RGB,3,JPEG,,train
img_000010,battery,data/garbage-classification-v2/standardized_256/battery/battery_107.jpg,battery_107.jpg,.jpg,14957,True,256,256,RGB,3,JPEG,,train
img_000011,battery,data/garbage-classification-v2/standardized_256/battery/battery_108.jpg,battery_108.jpg,.jpg,26055,True,256,256,RGB,3,JPEG,,train
img_000012,battery,data/garbage-classification-v2/standardized_256/battery/battery_109.jpg,battery_109.jpg,.jpg,25638,True,256,256,RGB,3,JPEG,,validation
img_000013,battery,data/garbage-classification-v2/standardized_256/battery/battery_11.jpg,battery_11.jpg,.jpg,16421,True,256,256,RGB,3,JPEG,,train
img_000014,battery,data/garbage-classification-v2/standardized_256/battery/battery_110.jpg,battery_110.jpg,.jpg,18947,True,256,256,RGB,3,JPEG,,train
img_000015,battery,data/garbage-classification-v2/standardized_256/battery/battery_111.jpg,battery_111.jpg,.jpg,14568,True,256,256,RGB,3,JPEG,,train
img_000016,battery,data/garbage-classification-v2/standardized_256/battery/battery_112.jpg,battery_112.jpg,.jpg,11958,True,256,256,RGB,3,JPEG,,train
img_000017,battery,data/garbage-classification-v2/standardized_256/battery/battery_113.jpg,battery_113.jpg,.jpg,20114,True,256,256,RGB,3,JPEG,,train
img_000018,battery,data/garbage-classification-v2/standardized_256/battery/battery_114.jpg,battery_114.jpg,.jpg,9171,True,256,256,RGB,3,JPEG,,train
img_000019,battery,data/garbage-classification-v2/standardized_256/battery/battery_115.jpg,battery_115.jpg,.jpg,12900,True,256,256,RGB,3,JPEG,,train
img_000020,battery,data/garbage-classification-v2/standardized_256/battery/battery_116.jpg,battery_116.jpg,.jpg,14434,True,256,256,RGB,3,JPEG,,validation
img_000021,battery,data/garbage-classification-v2/standardized_256/battery/battery_117.jpg,battery_117.jpg,.jpg,10358,True,256,256,RGB,3,JPEG,,train
img_000022,battery,data/garbage-classification-v2/standardized_256/battery/battery_118.jpg,battery_118.jpg,.jpg,15455,True,256,256,RGB,3,JPEG,,validation
img_000023,battery,data/garbage-classification-v2/standardized_256/battery/battery_119.jpg,battery_119.jpg,.jpg,29094,True,256,256,RGB,3,JPEG,,train
img_000024,battery,data/garbage-classification-v2/standardized_256/battery/battery_12.jpg,battery_12.jpg,.jpg,17710,True,256,256,RGB,3,JPEG,,train
img_000025,battery,data/garbage-classification-v2/standardized_256/battery/battery_120.jpg,battery_120.jpg,.jpg,9723,True,256,256,RGB,3,JPEG,,train
img_000026,battery,data/garbage-classification-v2/standardized_256/battery/battery_121.jpg,battery_121.jpg,.jpg,11690,True,256,256,RGB,3,JPEG,,test
img_000027,battery,data/garbage-classification-v2/standardized_256/battery/battery_122.jpg,battery_122.jpg,.jpg,24274,True,256,256,RGB,3,JPEG,,train
img_000028,battery,data/garbage-classification-v2/standardized_256/battery/battery_123.jpg,battery_123.jpg,.jpg,15879,True,256,256,RGB,3,JPEG,,test
img_000029,battery,data/garbage-classification-v2/standardized_256/battery/battery_124.jpg,battery_124.jpg,.jpg,19626,True,256,256,RGB,3,JPEG,,train
img_000030,battery,data/garbage-classification-v2/standardized_256/battery/battery_125.jpg,battery_125.jpg,.jpg,24134,True,256,256,RGB,3,JPEG,,train
img_000031,battery,data/garbage-classification-v2/standardized_256/battery/battery_126.jpg,battery_126.jpg,.jpg,18430,True,256,256,RGB,3,JPEG,,test
img_000032,battery,data/garbage-classification-v2/standardized_256/battery/battery_127.jpg,battery_127.jpg,.jpg,9987,True,256,256,RGB,3,JPEG,,train
img_000033,battery,data/garbage-classification-v2/standardized_256/battery/battery_128.jpg,battery_128.jpg,.jpg,9089,True,256,256,RGB,3,JPEG,,test
img_000034,battery,data/garbage-classification-v2/standardized_256/battery/battery_129.jpg,battery_129.jpg,.jpg,17847,True,256,256,RGB,3,JPEG,,train
img_000035,battery,data/garbage-classification-v2/standardized_256/battery/battery_13.jpg,battery_13.jpg,.jpg,19130,True,256,256,RGB,3,JPEG,,train
img_000036,battery,data/garbage-classification-v2/standardized_256/battery/battery_130.jpg,battery_130.jpg,.jpg,17895,True,256,256,RGB,3,JPEG,,train
img_000037,battery,data/garbage-classification-v2/standardized_256/battery/battery_131.jpg,battery_131.jpg,.jpg,16147,True,256,256,RGB,3,JPEG,,train
img_000038,battery,data/garbage-classification-v2/standardized_256/battery/battery_132.jpg,battery_132.jpg,.jpg,18949,True,256,256,RGB,3,JPEG,,train
img_000039,battery,data/garbage-classification-v2/standardized_256/battery/battery_133.jpg,battery_133.jpg,.jpg,25841,True,256,256,RGB,3,JPEG,,train
img_000040,battery,data/garbage-classification-v2/standardized_256/battery/battery_134.jpg,battery_134.jpg,.jpg,16536,True,256,256,RGB,3,JPEG,,train
img_000041,battery,data/garbage-classification-v2/standardized_256/battery/battery_135.jpg,battery_135.jpg,.jpg,15168,True,256,256,RGB,3,JPEG,,train
img_000042,battery,data/garbage-classification-v2/standardized_256/battery/battery_136.jpg,battery_136.jpg,.jpg,9990,True,256,256,RGB,3,JPEG,,train
img_000043,battery,data/garbage-classification-v2/standardized_256/battery/battery_137.jpg,battery_137.jpg,.jpg,13122,True,256,256,RGB,3,JPEG,,train
img_000044,battery,data/garbage-classification-v2/standardized_256/battery/battery_138.jpg,battery_138.jpg,.jpg,12035,True,256,256,RGB,3,JPEG,,train
img_000045,battery,data/garbage-classification-v2/standardized_256/battery/battery_139.jpg,battery_139.jpg,.jpg,11562,True,256,256,RGB,3,JPEG,,test
img_000046,battery,data/garbage-classification-v2/standardized_256/battery/battery_14.jpg,battery_14.jpg,.jpg,15966,True,256,256,RGB,3,JPEG,,train
img_000047,battery,data/garbage-classification-v2/standardized_256/battery/battery_140.jpg,battery_140.jpg,.jpg,20474,True,256,256,RGB,3,JPEG,,test
img_000048,battery,data/garbage-classification-v2/standardized_256/battery/battery_141.jpg,battery_141.jpg,.jpg,14965,True,256,256,RGB,3,JPEG,,train
img_000049,battery,data/garbage-classification-v2/standardized_256/battery/battery_142.jpg,battery_142.jpg,.jpg,23193,True,256,256,RGB,3,JPEG,,validation
img_000050,battery,data/garbage-classification-v2/standardized_256/battery/battery_143.jpg,battery_143.jpg,.jpg,15809,True,256,256,RGB,3,JPEG,,train
img_000051,battery,data/garbage-classification-v2/standardized_256/battery/battery_144.jpg,battery_144.jpg,.jpg,19312,True,256,256,RGB,3,JPEG,,train
img_000052,battery,data/garbage-classification-v2/standardized_256/battery/battery_145.jpg,battery_145.jpg,.jpg,12896,True,256,256,RGB,3,JPEG,,train
img_000053,battery,data/garbage-classification-v2/standardized_256/battery/battery_146.jpg,battery_146.jpg,.jpg,20547,True,256,256,RGB,3,JPEG,,train
img_000054,battery,data/garbage-classification-v2/standardized_256/battery/battery_147.jpg,battery_147.jpg,.jpg,31149,True,256,256,RGB,3,JPEG,,train
img_000055,battery,data/garbage-classification-v2/standardized_256/battery/battery_148.jpg,battery_148.jpg,.jpg,12538,True,256,256,RGB,3,JPEG,,train
img_000056,battery,data/garbage-classification-v2/standardized_256/battery/battery_149.jpg,battery_149.jpg,.jpg,8278,True,256,256,RGB,3,JPEG,,train
img_000057,battery,data/garbage-classification-v2/standardized_256/battery/battery_15.jpg,battery_15.jpg,.jpg,36235,True,256,256,RGB,3,JPEG,,train
img_000058,battery,data/garbage-classification-v2/standardized_256/battery/battery_150.jpg,battery_150.jpg,.jpg,7620,True,256,256,RGB,3,JPEG,,test
img_000059,battery,data/garbage-classification-v2/standardized_256/battery/battery_151.jpg,battery_151.jpg,.jpg,16099,True,256,256,RGB,3,JPEG,,train
img_000060,battery,data/garbage-classification-v2/standardized_256/battery/battery_152.jpg,battery_152.jpg,.jpg,10229,True,256,256,RGB,3,JPEG,,validation
img_000061,battery,data/garbage-classification-v2/standardized_256/battery/battery_153.jpg,battery_153.jpg,.jpg,23834,True,256,256,RGB,3,JPEG,,validation
img_000062,battery,data/garbage-classification-v2/standardized_256/battery/battery_154.jpg,battery_154.jpg,.jpg,14378,True,256,256,RGB,3,JPEG,,train
img_000063,battery,data/garbage-classification-v2/standardized_256/battery/battery_155.jpg,battery_155.jpg,.jpg,10871,True,256,256,RGB,3,JPEG,,train
img_000064,battery,data/garbage-classification-v2/standardized_256/battery/battery_156.jpg,battery_156.jpg,.jpg,10587,True,256,256,RGB,3,JPEG,,train
img_000065,battery,data/garbage-classification-v2/standardized_256/battery/battery_157.jpg,battery_157.jpg,.jpg,15727,True,256,256,RGB,3,JPEG,,train
img_000066,battery,data/garbage-classification-v2/standardized_256/battery/battery_158.jpg,battery_158.jpg,.jpg,20253,True,256,256,RGB,3,JPEG,,validation
img_000067,battery,data/garbage-classification-v2/standardized_256/battery/battery_159.jpg,battery_159.jpg,.jpg,36716,True,256,256,RGB,3,JPEG,,train
